diagnostic_code,valid_for_coding,category,sub_category,description,record_creation
P50-P61,N,P00-P96,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,2014-11-19 17:21:23.996408
P70-P74,N,P00-P96,P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn,2014-11-19 17:21:23.996408
P75-P78,N,P00-P96,P75-P78,Digestive system disorders of fetus and newborn,2014-11-19 17:21:23.996408
P80-P83,N,P00-P96,P80-P83,Conditions involving the integument and temperature regulation of fetus and newborn,2014-11-19 17:21:23.996408
P90-P96,N,P00-P96,P90-P96,Other disorders originating in the perinatal period,2014-11-19 17:21:23.996408
Q00-Q07,N,Q00-Q99,Q00-Q07,Congenital malformations of the nervous system,2014-11-19 17:21:23.996408
Q20-Q28,N,Q00-Q99,Q20-Q28,Congenital malformations of the circulatory system,2014-11-19 17:21:23.996408
Q30-Q34,N,Q00-Q99,Q30-Q34,Congenital malformations of the respiratory system,2014-11-19 17:21:23.996408
Q35-Q37,N,Q00-Q99,Q35-Q37,Cleft lip and cleft palate,2014-11-19 17:21:23.996408
Q38-Q45,N,Q00-Q99,Q38-Q45,Other congenital malformations of the digestive system,2014-11-19 17:21:23.996408
Q50-Q56,N,Q00-Q99,Q50-Q56,Congenital malformations of genital organs,2014-11-19 17:21:23.996408
Q65-Q79,N,Q00-Q99,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,2014-11-19 17:21:23.996408
Q80-Q89,N,Q00-Q99,Q80-Q89,Other congenital malformations,2014-11-19 17:21:23.996408
Q90-Q99,N,Q00-Q99,Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",2014-11-19 17:21:23.996408
R10-R19,N,R00-R99,R10-R19,Symptoms and signs involving the digestive system and abdomen,2014-11-19 17:21:23.996408
R20-R23,N,R00-R99,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue,2014-11-19 17:21:23.996408
R25-R29,N,R00-R99,R25-R29,Symptoms and signs involving the nervous and musculoskeletal systems,2014-11-19 17:21:23.996408
R30-R39,N,R00-R99,R30-R39,Symptoms and signs involving the urinary system,2014-11-19 17:21:23.996408
R40-R46,N,R00-R99,R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour",2014-11-19 17:21:23.996408
R47-R49,N,R00-R99,R47-R49,Symptoms and signs involving speech and voice,2014-11-19 17:21:23.996408
R50-R69,N,R00-R99,R50-R69,General symptoms and signs,2014-11-19 17:21:23.996408
R80-R82,N,R00-R99,R80-R82,"Abnormal findings on examination of urine, without diagnosis",2014-11-19 17:21:23.996408
R83-R89,N,R00-R99,R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",2014-11-19 17:21:23.996408
R90-R94,N,R00-R99,R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",2014-11-19 17:21:23.996408
R95-R99,N,R00-R99,R95-R99,Ill-defined and unknown causes of mortality,2014-11-19 17:21:23.996408
S00-S09,N,S00-T98,S00-S09,Injuries to the head,2014-11-19 17:21:23.996408
S10-S19,N,S00-T98,S10-S19,Injuries to the neck,2014-11-19 17:21:23.996408
S30-S39,N,S00-T98,S30-S39,"Injuries to the abdomen, lower back, lumbar spine and pelvis",2014-11-19 17:21:23.996408
S40-S49,N,S00-T98,S40-S49,Injuries to the shoulder and upper arm,2014-11-19 17:21:23.996408
S50-S59,N,S00-T98,S50-S59,Injuries to the elbow and forearm,2014-11-19 17:21:23.996408
S70-S79,N,S00-T98,S70-S79,Injuries to the hip and thigh,2014-11-19 17:21:23.996408
S80-S89,N,S00-T98,S80-S89,Injuries to the knee and lower leg,2014-11-19 17:21:23.996408
S90-S99,N,S00-T98,S90-S99,Injuries to the ankle and foot,2014-11-19 17:21:23.996408
T00-T07,N,S00-T98,T00-T07,Injuries involving multiple body regions,2014-11-19 17:21:23.996408
T15-T19,N,S00-T98,T15-T19,Effects of foreign body entering through natural orifice,2014-11-19 17:21:23.996408
T20-T25,N,S00-T98,T20-T25,"Burns and corrosions of external body surface, specified by site",2014-11-19 17:21:23.996408
T26-T28,N,S00-T98,T26-T28,Burns and corrosions confined to eye and internal organs,2014-11-19 17:21:23.996408
T29-T32,N,S00-T98,T29-T32,Burns and corrosions of multiple and unspecified body regions,2014-11-19 17:21:23.996408
T33-T35,N,S00-T98,T33-T35,Frostbite,2014-11-19 17:21:23.996408
T51-T65,N,S00-T98,T51-T65,Toxic effects of substances chiefly nonmedicinal as to source,2014-11-19 17:21:23.996408
T66-T78,N,S00-T98,T66-T78,Other and unspecified effects of external causes,2014-11-19 17:21:23.996408
T79-T79,N,S00-T98,T79-T79,Certain early complications of trauma,2014-11-19 17:21:23.996408
T80-T88,N,S00-T98,T80-T88,"Complications of surgical and medical care, not elsewhere classified",2014-11-19 17:21:23.996408
V01-V09,N,V01-Y98,V01-V09,Pedestrian injured in transport accident,2014-11-19 17:21:23.996408
V10-V19,N,V01-Y98,V10-V19,Pedal cyclist injured in transport accident,2014-11-19 17:21:23.996408
V20-V29,N,V01-Y98,V20-V29,Motorcycle rider injured in transport accident,2014-11-19 17:21:23.996408
V30-V39,N,V01-Y98,V30-V39,Occupant of three-wheeled motor vehicle injured in transport accident,2014-11-19 17:21:23.996408
V40-V49,N,V01-Y98,V40-V49,Car occupant injured in transport accident,2014-11-19 17:21:23.996408
V50-V59,N,V01-Y98,V50-V59,Occupant of pick-up truck or van injured in transport accident,2014-11-19 17:21:23.996408
V60-V69,N,V01-Y98,V60-V69,Occupant of heavy transport vehicle injured in transport accident,2014-11-19 17:21:23.996408
V70-V79,N,V01-Y98,V70-V79,Bus occupant injured in transport accident,2014-11-19 17:21:23.996408
V90-V94,N,V01-Y98,V90-V94,Water transport accidents,2014-11-19 17:21:23.996408
V95-V97,N,V01-Y98,V95-V97,Air and space transport accidents,2014-11-19 17:21:23.996408
V98-V99,N,V01-Y98,V98-V99,Other and unspecified transport accidents,2014-11-19 17:21:23.996408
W00-W19,N,V01-Y98,W00-W19,Falls,2014-11-19 17:21:23.996408
W50-W64,N,V01-Y98,W50-W64,Exposure to animate mechanical forces,2014-11-19 17:21:23.996408
W65-W74,N,V01-Y98,W65-W74,Accidental drowning and submersion,2014-11-19 17:21:23.996408
W75-W84,N,V01-Y98,W75-W84,Other accidental threats to breathing,2014-11-19 17:21:23.996408
X00-X09,N,V01-Y98,X00-X09,"Exposure to smoke, fire and flames",2014-11-19 17:21:23.996408
X10-X19,N,V01-Y98,X10-X19,Contact with heat and hot substances,2014-11-19 17:21:23.996408
X20-X29,N,V01-Y98,X20-X29,Contact with venomous animals and plants,2014-11-19 17:21:23.996408
X30-X39,N,V01-Y98,X30-X39,Exposure to forces of nature,2014-11-19 17:21:23.996408
X40-X49,N,V01-Y98,X40-X49,Accidental poisoning by and exposure to noxious substances,2014-11-19 17:21:23.996408
X50-X57,N,V01-Y98,X50-X57,"Overexertion, travel and privation",2014-11-19 17:21:23.996408
A00.1,Y,A00-B99,A00-A09,"Cholera due to Vibrio cholerae 01, biovar eltor",2014-11-19 17:21:23.996408
A00.9,Y,A00-B99,A00-A09,"Cholera, unspecified",2014-11-19 17:21:23.996408
A01.,N,A00-B99,A00-A09,Typhoid and paratyphoid fevers,2014-11-19 17:21:23.996408
A01.0,Y,A00-B99,A00-A09,Typhoid fever,2014-11-19 17:21:23.996408
A01.1,Y,A00-B99,A00-A09,Paratyphoid fever A,2014-11-19 17:21:23.996408
A01.2,Y,A00-B99,A00-A09,Paratyphoid fever B,2014-11-19 17:21:23.996408
A01.4,Y,A00-B99,A00-A09,"Paratyphoid fever, unspecified",2014-11-19 17:21:23.996408
A02.,N,A00-B99,A00-A09,Other salmonella infections,2014-11-19 17:21:23.996408
A02.0,Y,A00-B99,A00-A09,Salmonella enteritis,2014-11-19 17:21:23.996408
A02.2,Y,A00-B99,A00-A09,Localized salmonella infections,2014-11-19 17:21:23.996408
A02.8,Y,A00-B99,A00-A09,Other specified salmonella infections,2014-11-19 17:21:23.996408
A02.9,Y,A00-B99,A00-A09,"Salmonella infection, unspecified",2014-11-19 17:21:23.996408
A03.,N,A00-B99,A00-A09,Shigellosis,2014-11-19 17:21:23.996408
A03.1,Y,A00-B99,A00-A09,Shigellosis due to Shigella flexneri,2014-11-19 17:21:23.996408
A03.2,Y,A00-B99,A00-A09,Shigellosis due to Shigella boydii,2014-11-19 17:21:23.996408
A03.3,Y,A00-B99,A00-A09,Shigellosis due to Shigella sonnei,2014-11-19 17:21:23.996408
A03.8,Y,A00-B99,A00-A09,Other shigellosis,2014-11-19 17:21:23.996408
A04.,N,A00-B99,A00-A09,Other bacterial intestinal infections,2014-11-19 17:21:23.996408
A04.0,Y,A00-B99,A00-A09,Enteropathogenic Escherichia coli infection,2014-11-19 17:21:23.996408
A04.2,Y,A00-B99,A00-A09,Enteroinvasive Escherichia coli infection,2014-11-19 17:21:23.996408
A04.3,Y,A00-B99,A00-A09,Enterohaemorrhagic Escherichia coli infection,2014-11-19 17:21:23.996408
A04.4,Y,A00-B99,A00-A09,Other intestinal Escherichia coli infections,2014-11-19 17:21:23.996408
A04.5,Y,A00-B99,A00-A09,Campylobacter enteritis,2014-11-19 17:21:23.996408
A04.7,Y,A00-B99,A00-A09,Enterocolitis due to Clostridium difficile,2014-11-19 17:21:23.996408
A04.8,Y,A00-B99,A00-A09,Other specified bacterial intestinal infections,2014-11-19 17:21:23.996408
A04.9,Y,A00-B99,A00-A09,"Bacterial intestinal infection, unspecified",2014-11-19 17:21:23.996408
A05.,N,A00-B99,A00-A09,"Other bacterial foodborne intoxications, not elsewhere classified",2014-11-19 17:21:23.996408
A05.0,Y,A00-B99,A00-A09,Foodborne staphylococcal intoxication,2014-11-19 17:21:23.996408
A05.1,Y,A00-B99,A00-A09,Botulism,2014-11-19 17:21:23.996408
A05.3,Y,A00-B99,A00-A09,Foodborne Vibrio parahaemolyticus intoxication,2014-11-19 17:21:23.996408
A05.4,Y,A00-B99,A00-A09,Foodborne Bacillus cereus intoxication,2014-11-19 17:21:23.996408
A05.8,Y,A00-B99,A00-A09,Other specified bacterial foodborne intoxications,2014-11-19 17:21:23.996408
A05.9,Y,A00-B99,A00-A09,"Bacterial foodborne intoxication, unspecified",2014-11-19 17:21:23.996408
A06.,N,A00-B99,A00-A09,Amoebiasis,2014-11-19 17:21:23.996408
A06.0,Y,A00-B99,A00-A09,Acute amoebic dysentery,2014-11-19 17:21:23.996408
A06.2,Y,A00-B99,A00-A09,Amoebic nondysenteric colitis,2014-11-19 17:21:23.996408
A06.3,Y,A00-B99,A00-A09,Amoeboma of intestine,2014-11-19 17:21:23.996408
A06.4,Y,A00-B99,A00-A09,Amoebic liver abscess,2014-11-19 17:21:23.996408
A06.6,Y,A00-B99,A00-A09,Amoebic brain abscess,2014-11-19 17:21:23.996408
A06.7,Y,A00-B99,A00-A09,Cutaneous amoebiasis,2014-11-19 17:21:23.996408
A06.8,Y,A00-B99,A00-A09,Amoebic infection of other sites,2014-11-19 17:21:23.996408
A07.,N,A00-B99,A00-A09,Other protozoal intestinal diseases,2014-11-19 17:21:23.996408
A07.0,Y,A00-B99,A00-A09,Balantidiasis,2014-11-19 17:21:23.996408
A07.1,Y,A00-B99,A00-A09,Giardiasis [lambliasis],2014-11-19 17:21:23.996408
A07.2,Y,A00-B99,A00-A09,Cryptosporidiosis,2014-11-19 17:21:23.996408
A07.8,Y,A00-B99,A00-A09,Other specified protozoal intestinal diseases,2014-11-19 17:21:23.996408
A08.,N,A00-B99,A00-A09,Viral and other specified intestinal infections,2014-11-19 17:21:23.996408
A08.0,Y,A00-B99,A00-A09,Rotaviral enteritis,2014-11-19 17:21:23.996408
A08.1,Y,A00-B99,A00-A09,Acute gastroenteropathy due to Norwalk agent,2014-11-19 17:21:23.996408
A08.2,Y,A00-B99,A00-A09,Adenoviral enteritis,2014-11-19 17:21:23.996408
A08.3,Y,A00-B99,A00-A09,Other viral enteritis,2014-11-19 17:21:23.996408
A08.5,Y,A00-B99,A00-A09,Other specified intestinal infections,2014-11-19 17:21:23.996408
A09.,N,A00-B99,A00-A09,Other gastroenteritis and colitis of infectious and unspecified origin,2014-11-19 17:21:23.996408
A09.9,Y,A00-B99,A00-A09,Gastroenteritis and colitis of unspecified origin,2014-11-19 17:21:23.996408
A15.,N,A00-B99,A15-A19,"Respiratory tuberculosis, bacteriologically and histologically confirmed",2014-11-19 17:21:23.996408
X58-X59,N,V01-Y98,X58-X59,Accidental exposure to other and unspecified factors,2014-11-19 17:21:23.996408
